Line,Attribute,Value
284, Short or long,0
284, After 2004,0
285,Training date,1.04535E+12
285, Miles for training run,5
285, Training time,2428020
285, Shoe brand,0
285, Running pace per mile,485580
285, Short or long,1
285, After 2004,0
286,Training date,1.04544E+12
286, Miles for training run,7
286, Training time,3535020
286, Shoe brand,0
286, Running pace per mile,505020
286, Short or long,0
286, After 2004,0
287,Training date,1.04552E+12
287, Miles for training run,4
287, Training time,1888020
287, Shoe brand,0
287, Running pace per mile,472020
287, Short or long,1
287, After 2004,0
288,Training date,1.04561E+12
288, Miles for training run,16
288, Training time,8134980
288, Shoe brand,0
288, Running pace per mile,508440
288, Short or long,0
288, After 2004,0
289,Training date,1.04578E+12
289, Miles for training run,7
289, Training time,3547020
289, Shoe brand,0
289, Running pace per mile,506700
289, Short or long,0
289, After 2004,0
290,Training date,1.04587E+12
290, Miles for training run,10
290, Training time,5127000
290, Shoe brand,0
290, Running pace per mile,512700
290, Short or long,0
290, After 2004,0
291,Training date,1.04595E+12
291, Miles for training run,5
291, Training time,2577000
291, Shoe brand,0
291, Running pace per mile,515400
291, Short or long,1
291, After 2004,0
292,Training date,1.04604E+12
292, Miles for training run,7
292, Training time,3577980
292, Shoe brand,0
292, Running pace per mile,511140
292, Short or long,0
292, After 2004,0
293,Training date,1.04613E+12
293, Miles for training run,4
293, Training time,1843980
293, Shoe brand,0
293, Running pace per mile,460980
293, Short or long,1
293, After 2004,0
294,Training date,1.04621E+12
294, Miles for training run,12
294, Training time,6820980
294, Shoe brand,0
294, Running pace per mile,568440
294, Short or long,0
294, After 2004,0
295,Training date,1.04639E+12
295, Miles for training run,7
295, Training time,4143000
295, Shoe brand,0
295, Running pace per mile,591840
295, Short or long,0
295, After 2004,0
296,Training date,1.04647E+12
296, Miles for training run,8
296, Training time,3960000
296, Shoe brand,0
296, Running pace per mile,495000
296, Short or long,0
296, After 2004,0
297,Training date,1.04673E+12
297, Miles for training run,7
297, Training time,3697020
297, Shoe brand,0
297, Running pace per mile,528120
297, Short or long,0
297, After 2004,0
298,Training date,1.04691E+12
298, Miles for training run,6
298, Training time,3025980
298, Shoe brand,0
298, Running pace per mile,504360
298, Short or long,0
298, After 2004,0
299,Training date,1.04699E+12
299, Miles for training run,8
299, Training time,4192020
299, Shoe brand,0
299, Running pace per mile,523980
299, Short or long,0
299, After 2004,0
300,Training date,1.04708E+12
300, Miles for training run,5
300, Training time,2376000
300, Shoe brand,0
300, Running pace per mile,475200
300, Short or long,1
300, After 2004,0
301,Training date,1.04716E+12
301, Miles for training run,14
301, Training time,7156020
301, Shoe brand,0
301, Running pace per mile,511140
301, Short or long,0
301, After 2004,0
302,Training date,1.04734E+12
302, Miles for training run,7
302, Training time,3589020
302, Shoe brand,0
302, Running pace per mile,512700
302, Short or long,0
302, After 2004,0
303,Training date,1.04742E+12
303, Miles for training run,10
303, Training time,4768020
303, Shoe brand,0
303, Running pace per mile,476820
303, Short or long,0
303, After 2004,0
304,Training date,1.0476E+12
304, Miles for training run,8
304, Training time,3732000
304, Shoe brand,0
304, Running pace per mile,466500
304, Short or long,0
304, After 2004,0
305,Training date,1.04768E+12
305, Miles for training run,5
305, Training time,2911980
305, Shoe brand,0
305, Running pace per mile,582420
305, Short or long,1
305, After 2004,0
306,Training date,1.04777E+12
306, Miles for training run,19
306, Training time,9766980
306, Shoe brand,0
306, Running pace per mile,514080
306, Short or long,0
306, After 2004,0
307,Training date,1.04794E+12
307, Miles for training run,7
307, Training time,3166980
307, Shoe brand,0
307, Running pace per mile,452400
307, Short or long,0
307, After 2004,0
308,Training date,1.04803E+12
308, Miles for training run,10
308, Training time,4732980
308, Shoe brand,0
308, Running pace per mile,473280
308, Short or long,0
308, After 2004,0
309,Training date,1.04811E+12
309, Miles for training run,6
309, Training time,2872020
309, Shoe brand,0
309, Running pace per mile,478680
309, Short or long,0
309, After 2004,0
310,Training date,1.0482E+12
310, Miles for training run,8
310, Training time,3660000
310, Shoe brand,0
310, Running pace per mile,457500
310, Short or long,0
310, After 2004,0
311,Training date,1.04829E+12
311, Miles for training run,5
311, Training time,2407980
311, Shoe brand,0
311, Running pace per mile,481620
311, Short or long,1
311, After 2004,0
312,Training date,1.04837E+12
312, Miles for training run,14
312, Training time,6997980
312, Shoe brand,0
312, Running pace per mile,499860
312, Short or long,0
312, After 2004,0
313,Training date,1.04855E+12
313, Miles for training run,7
313, Training time,3133020
313, Shoe brand,0
313, Running pace per mile,447600
313, Short or long,0
313, After 2004,0
314,Training date,1.04863E+12
314, Miles for training run,12
314, Training time,5707020
314, Shoe brand,0
314, Running pace per mile,475560
314, Short or long,0
314, After 2004,0
315,Training date,1.04872E+12
315, Miles for training run,6
315, Training time,2823000
315, Shoe brand,0
315, Running pace per mile,470520
315, Short or long,0
315, After 2004,0
316,Training date,1.04881E+12
316, Miles for training run,8
316, Training time,3588000
316, Shoe brand,0
316, Running pace per mile,448500
316, Short or long,0
316, After 2004,0
317,Training date,1.04915E+12
317, Miles for training run,5
317, Training time,2305020
317, Shoe brand,0
317, Running pace per mile,460980
317, Short or long,1
317, After 2004,0
318,Training date,1.04923E+12
318, Miles for training run,22
318, Training time,11293980
318, Shoe brand,0
318, Running pace per mile,513360
318, Short or long,0
318, After 2004,0
319,Training date,1.04941E+12
319, Miles for training run,7
319, Training time,3178020
319, Shoe brand,0
319, Running pace per mile,454020
319, Short or long,0
319, After 2004,0
320,Training date,1.04949E+12
320, Miles for training run,10
320, Training time,4593000
320, Shoe brand,0
320, Running pace per mile,459300
320, Short or long,0
320, After 2004,0
321,Training date,1.04958E+12
321, Miles for training run,6
321, Training time,2866020
321, Shoe brand,0
321, Running pace per mile,477660
321, Short or long,0
321, After 2004,0
322,Training date,1.04967E+12
322, Miles for training run,8
322, Training time,3658020
322, Shoe brand,0
322, Running pace per mile,457260
322, Short or long,0
322, After 2004,0
323,Training date,1.04975E+12
323, Miles for training run,5
323, Training time,2244000
323, Shoe brand,0
323, Running pace per mile,448800
323, Short or long,1
323, After 2004,0
324,Training date,1.04984E+12
324, Miles for training run,16
324, Training time,7861020
324, Shoe brand,0
324, Running pace per mile,491340
324, Short or long,0
324, After 2004,0
325,Training date,1.05001E+12
325, Miles for training run,7
325, Training time,3253020
325, Shoe brand,0
325, Running pace per mile,464700
325, Short or long,0
325, After 2004,0
326,Training date,1.0501E+12
326, Miles for training run,12
326, Training time,5803020
326, Shoe brand,0
326, Running pace per mile,483600
326, Short or long,0
326, After 2004,0
327,Training date,1.05018E+12
327, Miles for training run,5
327, Training time,2434020
327, Shoe brand,0
327, Running pace per mile,486780
327, Short or long,1
327, After 2004,0
328,Training date,1.05027E+12
328, Miles for training run,8
328, Training time,3543000
328, Shoe brand,0
328, Running pace per mile,442860
328, Short or long,0
328, After 2004,0
329,Training date,1.05036E+12
329, Miles for training run,5
329, Training time,2167980
329, Shoe brand,0
329, Running pace per mile,433620
329, Short or long,1
329, After 2004,0
330,Training date,1.05044E+12
330, Miles for training run,24
330, Training time,13969020
330, Shoe brand,0
330, Running pace per mile,582060
330, Short or long,0
330, After 2004,0
331,Training date,1.05062E+12
331, Miles for training run,8
331, Training time,3652980
331, Shoe brand,0
331, Running pace per mile,456600
331, Short or long,0
331, After 2004,0
332,Training date,1.0507E+12
332, Miles for training run,10
332, Training time,4723980
332, Shoe brand,0
332, Running pace per mile,472380
332, Short or long,0
332, After 2004,0
333,Training date,1.05079E+12
333, Miles for training run,6
333, Training time,2854980
333, Shoe brand,0
333, Running pace per mile,475860
333, Short or long,0
333, After 2004,0
334,Training date,1.05088E+12
334, Miles for training run,8
334, Training time,3574980
334, Shoe brand,0
334, Running pace per mile,446880
334, Short or long,0
334, After 2004,0
335,Training date,1.05096E+12
335, Miles for training run,5
335, Training time,2425020
335, Shoe brand,0
335, Running pace per mile,484980
335, Short or long,1
335, After 2004,0
336,Training date,1.05105E+12
336, Miles for training run,16
336, Training time,7687980
336, Shoe brand,0
336, Running pace per mile,480480
336, Short or long,0
336, After 2004,0
337,Training date,1.05122E+12
337, Miles for training run,7
337, Training time,3187980
337, Shoe brand,0
337, Running pace per mile,455400
337, Short or long,0
337, After 2004,0
338,Training date,1.05131E+12
338, Miles for training run,12
338, Training time,5760000
338, Shoe brand,0
338, Running pace per mile,480000
338, Short or long,0
338, After 2004,0
339,Training date,1.05139E+12
339, Miles for training run,6
339, Training time,2815020
339, Shoe brand,0
339, Running pace per mile,469140
339, Short or long,0
339, After 2004,0
340,Training date,1.05148E+12
340, Miles for training run,8
340, Training time,3616980
340, Shoe brand,0
340, Running pace per mile,452100
340, Short or long,0
340, After 2004,0
341,Training date,1.05157E+12
341, Miles for training run,5
341, Training time,2205000
341, Shoe brand,0
341, Running pace per mile,441000
341, Short or long,1
341, After 2004,0
342,Training date,1.05165E+12
342, Miles for training run,26
342, Training time,13177980
342, Shoe brand,0
342, Running pace per mile,506820
342, Short or long,0
342, After 2004,0
343,Training date,1.05174E+12
343, Miles for training run,7
343, Training time,3187980
343, Shoe brand,0
343, Running pace per mile,455400
343, Short or long,0
343, After 2004,0
344,Training date,1.05183E+12
344, Miles for training run,10
344, Training time,4702980
344, Shoe brand,0
344, Running pace per mile,470280
344, Short or long,0
344, After 2004,0
345,Training date,1.05191E+12
345, Miles for training run,6
345, Training time,2884020
345, Shoe brand,0
345, Running pace per mile,480660
345, Short or long,0
345, After 2004,0
346,Training date,1.052E+12
346, Miles for training run,8
346, Training time,3633000
346, Shoe brand,0
346, Running pace per mile,454140
346, Short or long,0
346, After 2004,0
347,Training date,1.05209E+12
347, Miles for training run,5
347, Training time,2349000
347, Shoe brand,0
347, Running pace per mile,469800
347, Short or long,1
347, After 2004,0
348,Training date,1.05217E+12
348, Miles for training run,18
348, Training time,8973000
348, Shoe brand,0
348, Running pace per mile,498480
348, Short or long,0
348, After 2004,0
349,Training date,1.05234E+12
349, Miles for training run,6
349, Training time,2685000
349, Shoe brand,0
349, Running pace per mile,447480
349, Short or long,0
349, After 2004,0
350,Training date,1.05243E+12
350, Miles for training run,9
350, Training time,4435020
350, Shoe brand,0
350, Running pace per mile,492780
350, Short or long,0
350, After 2004,0
351,Training date,1.0526E+12
351, Miles for training run,7
351, Training time,3157020
351, Shoe brand,0
351, Running pace per mile,451020
351, Short or long,0
351, After 2004,0
352,Training date,1.05269E+12
352, Miles for training run,4
352, Training time,1765980
352, Shoe brand,0
352, Running pace per mile,441480
352, Short or long,1
352, After 2004,0
353,Training date,1.05278E+12
353, Miles for training run,12
353, Training time,5761980
353, Shoe brand,0
353, Running pace per mile,480180
353, Short or long,0
353, After 2004,0
354,Training date,1.05295E+12
354, Miles for training run,5
354, Training time,2251020
354, Shoe brand,0
354, Running pace per mile,450180
354, Short or long,1
354, After 2004,0
355,Training date,1.05304E+12
355, Miles for training run,8
355, Training time,3748020
355, Shoe brand,0
355, Running pace per mile,468480
355, Short or long,0
355, After 2004,0
356,Training date,1.05312E+12
356, Miles for training run,3
356, Training time,1350000
356, Shoe brand,0
356, Running pace per mile,450000
356, Short or long,1
356, After 2004,0
357,Training date,1.05321E+12
357, Miles for training run,2
357, Training time,945000
357, Shoe brand,0
357, Running pace per mile,472500
357, Short or long,1
357, After 2004,0
358,Training date,1.05338E+12
358, Miles for training run,2
358, Training time,991980
358, Shoe brand,0
358, Running pace per mile,496020
358, Short or long,1
358, After 2004,0
359,Training date,1.05347E+12
359, Miles for training run,26.2
359, Training time,13324980
359, Shoe brand,0
359, Running pace per mile,508560
359, Short or long,0
359, After 2004,0
360,Training date,1.0539E+12
360, Miles for training run,4
360, Training time,1861020
360, Shoe brand,0
360, Running pace per mile,465240
360, Short or long,1
360, After 2004,0
361,Training date,1.05416E+12
361, Miles for training run,5
361, Training time,2392980
361, Shoe brand,0
361, Running pace per mile,478620
361, Short or long,1
361, After 2004,0
362,Training date,1.05425E+12
362, Miles for training run,6
362, Training time,2839980
362, Shoe brand,0
362, Running pace per mile,473340
362, Short or long,0
362, After 2004,0
363,Training date,1.0545E+12
363, Miles for training run,5
363, Training time,2314020
363, Shoe brand,0
363, Running pace per mile,462780
363, Short or long,1
363, After 2004,0
364,Training date,1.05459E+12
364, Miles for training run,5
364, Training time,2146980
364, Shoe brand,0
364, Running pace per mile,429420
364, Short or long,1
364, After 2004,0
365,Training date,1.05485E+12
365, Miles for training run,5
365, Training time,2320020
365, Shoe brand,0
365, Running pace per mile,463980
365, Short or long,1
365, After 2004,0
366,Training date,1.05494E+12
366, Miles for training run,6
366, Training time,2887980
366, Shoe brand,0
366, Running pace per mile,481320
366, Short or long,0
366, After 2004,0
367,Training date,1.05502E+12
367, Miles for training run,5
367, Training time,2305020
367, Shoe brand,0
367, Running pace per mile,460980
367, Short or long,1
367, After 2004,0
368,Training date,1.05511E+12
368, Miles for training run,6
368, Training time,2737020
368, Shoe brand,0
368, Running pace per mile,456180
368, Short or long,0
368, After 2004,0
369,Training date,1.05546E+12
369, Miles for training run,5
369, Training time,2218020
369, Shoe brand,0
369, Running pace per mile,443580
369, Short or long,1
369, After 2004,0
370,Training date,1.05554E+12
370, Miles for training run,8
370, Training time,3757020
370, Shoe brand,0
370, Running pace per mile,469620
370, Short or long,0
370, After 2004,0
371,Training date,1.05563E+12
371, Miles for training run,5
371, Training time,2370000
371, Shoe brand,0
371, Running pace per mile,474000
371, Short or long,1
371, After 2004,0
372,Training date,1.05571E+12
372, Miles for training run,4
372, Training time,1777020
372, Shoe brand,0
372, Running pace per mile,444240
372, Short or long,1
372, After 2004,0
373,Training date,1.05589E+12
373, Miles for training run,8
373, Training time,3715020
373, Shoe brand,0
373, Running pace per mile,464400
373, Short or long,0
373, After 2004,0
374,Training date,1.05606E+12
374, Miles for training run,6
374, Training time,2689020
374, Shoe brand,0
374, Running pace per mile,448140
374, Short or long,0
374, After 2004,0
375,Training date,1.05615E+12
375, Miles for training run,8
375, Training time,3864000
375, Shoe brand,0
375, Running pace per mile,483000
375, Short or long,0
375, After 2004,0
376,Training date,1.05623E+12
376, Miles for training run,5
376, Training time,2206980
376, Shoe brand,0
376, Running pace per mile,441420
376, Short or long,1
376, After 2004,0
377,Training date,1.05632E+12
377, Miles for training run,5
377, Training time,2466000
377, Shoe brand,0
377, Running pace per mile,493200
377, Short or long,1
377, After 2004,0
378,Training date,1.05641E+12
378, Miles for training run,2
378, Training time,960000
378, Shoe brand,0
378, Running pace per mile,480000
378, Short or long,1
378, After 2004,0
379,Training date,1.05649E+12
379, Miles for training run,8
379, Training time,3840000
379, Shoe brand,0
379, Running pace per mile,480000
379, Short or long,0
379, After 2004,0
380,Training date,1.05666E+12
380, Miles for training run,6
380, Training time,2871000
380, Shoe brand,0
380, Running pace per mile,478500
380, Short or long,0
380, After 2004,0
381,Training date,1.05675E+12
381, Miles for training run,7
381, Training time,3490020
381, Shoe brand,0
381, Running pace per mile,498600
381, Short or long,0
381, After 2004,0
382,Training date,1.05684E+12
382, Miles for training run,5
382, Training time,2703000
382, Shoe brand,0
382, Running pace per mile,540600
382, Short or long,1
382, After 2004,0
383,Training date,1.05692E+12
383, Miles for training run,6
383, Training time,2818980
383, Shoe brand,0
383, Running pace per mile,469860
383, Short or long,0
383, After 2004,0
384,Training date,1.05701E+12
384, Miles for training run,4
384, Training time,1881000
384, Shoe brand,0
384, Running pace per mile,470280
384, Short or long,1
384, After 2004,0
385,Training date,1.05701E+12
385, Miles for training run,10
385, Training time,4957020
385, Shoe brand,0
385, Running pace per mile,495720
385, Short or long,0
385, After 2004,0
386,Training date,1.05718E+12
386, Miles for training run,6
386, Training time,2800980
386, Shoe brand,0
386, Running pace per mile,466860
386, Short or long,0
386, After 2004,0
387,Training date,1.05727E+12
387, Miles for training run,6
387, Training time,3123000
387, Shoe brand,0
387, Running pace per mile,520500
387, Short or long,0
387, After 2004,0
388,Training date,1.05736E+12
388, Miles for training run,6
388, Training time,2979000
388, Shoe brand,0
388, Running pace per mile,496500
388, Short or long,0
388, After 2004,0
389,Training date,1.05744E+12
389, Miles for training run,6
389, Training time,2920980
389, Shoe brand,0
389, Running pace per mile,486840
389, Short or long,0
389, After 2004,0
390,Training date,1.05753E+12
390, Miles for training run,4
390, Training time,1876980
390, Shoe brand,0
390, Running pace per mile,469260
390, Short or long,1
390, After 2004,0
391,Training date,1.0577E+12
391, Miles for training run,7
391, Training time,3676980
391, Shoe brand,0
391, Running pace per mile,525300
391, Short or long,0
391, After 2004,0
392,Training date,1.05779E+12
392, Miles for training run,9
392, Training time,4527000
392, Shoe brand,0
392, Running pace per mile,502980
392, Short or long,0
392, After 2004,0
393,Training date,1.05787E+12
393, Miles for training run,5.5
393, Training time,2640000
393, Shoe brand,0
393, Running pace per mile,480000
393, Short or long,0
393, After 2004,0
394,Training date,1.05796E+12
394, Miles for training run,7
394, Training time,3085020
394, Shoe brand,0
394, Running pace per mile,440700
394, Short or long,0
394, After 2004,0
395,Training date,1.05805E+12
395, Miles for training run,4
395, Training time,1969980
395, Shoe brand,0
395, Running pace per mile,492480
395, Short or long,1
395, After 2004,0
396,Training date,1.05822E+12
396, Miles for training run,12
396, Training time,5772000
396, Shoe brand,0
396, Running pace per mile,481020
396, Short or long,0
396, After 2004,0
397,Training date,1.05839E+12
397, Miles for training run,6
397, Training time,2851980
397, Shoe brand,0
397, Running pace per mile,475320
397, Short or long,0
397, After 2004,0
398,Training date,1.05848E+12
398, Miles for training run,8
398, Training time,3724980
398, Shoe brand,0
398, Running pace per mile,465600
398, Short or long,0
398, After 2004,0
399,Training date,1.05857E+12
399, Miles for training run,5
399, Training time,2467980
399, Shoe brand,0
399, Running pace per mile,493620
399, Short or long,1
399, After 2004,0
400,Training date,1.05874E+12
400, Miles for training run,4
400, Shoe brand,0
400, Short or long,1
400, After 2004,0
401,Training date,1.05882E+12
401, Miles for training run,12
401, Training time,5836020
401, Shoe brand,0
401, Running pace per mile,486360
401, Short or long,0
401, After 2004,0
402,Training date,1.059E+12
402, Miles for training run,5
402, Training time,2373000
402, Shoe brand,0
402, Running pace per mile,474600
402, Short or long,1
402, After 2004,0
403,Training date,1.05908E+12
403, Miles for training run,8
403, Training time,4500000
403, Shoe brand,0
403, Running pace per mile,562500
403, Short or long,0
403, After 2004,0
404,Training date,1.05917E+12
404, Miles for training run,4.5
404, Training time,2152020
404, Shoe brand,0
404, Running pace per mile,478200
404, Short or long,1
404, After 2004,0
405,Training date,1.05926E+12
405, Miles for training run,6
405, Training time,3082980
405, Shoe brand,0
405, Running pace per mile,513840
405, Short or long,0
405, After 2004,0
406,Training date,1.05943E+12
406, Miles for training run,12
406, Training time,5925000
406, Shoe brand,0
406, Running pace per mile,493740
406, Short or long,0
406, After 2004,0
407,Training date,1.05969E+12
407, Miles for training run,6
407, Training time,2848980
407, Shoe brand,0
407, Running pace per mile,474840
407, Short or long,0
407, After 2004,0
408,Training date,1.05978E+12
408, Miles for training run,9
408, Training time,4585020
408, Shoe brand,0
408, Running pace per mile,509460
408, Short or long,0
408, After 2004,0
409,Training date,1.05986E+12
409, Miles for training run,4
409, Training time,1909020
409, Shoe brand,0
409, Running pace per mile,477240
409, Short or long,1
409, After 2004,0
410,Training date,1.05995E+12
410, Miles for training run,6
410, Training time,2865000
410, Shoe brand,0
410, Running pace per mile,477480
410, Short or long,0
410, After 2004,0
411,Training date,1.06003E+12
411, Miles for training run,3
411, Training time,1428000
411, Shoe brand,0
411, Running pace per mile,475980
411, Short or long,1
411, After 2004,0
412,Training date,1.06012E+12
412, Miles for training run,14
412, Training time,8653020
412, Shoe brand,0
412, Running pace per mile,618060
412, Short or long,0
412, After 2004,0
413,Training date,1.06029E+12
413, Miles for training run,6
413, Training time,3057000
413, Shoe brand,0
413, Running pace per mile,509520
413, Short or long,0
413, After 2004,0
414,Training date,1.06038E+12
414, Miles for training run,9
414, Training time,4498020
414, Shoe brand,0
414, Running pace per mile,499800
414, Short or long,0
414, After 2004,0
415,Training date,1.06047E+12
415, Miles for training run,5
415, Training time,2404020
415, Shoe brand,0
415, Running pace per mile,480780
415, Short or long,1
415, After 2004,0
416,Training date,1.06055E+12
416, Miles for training run,7
416, Training time,3499980
416, Shoe brand,0
416, Running pace per mile,499980
416, Short or long,0
416, After 2004,0
417,Training date,1.06073E+12
417, Miles for training run,16
417, Training time,7924020
417, Shoe brand,0
417, Running pace per mile,495240
417, Short or long,0
417, After 2004,0
418,Training date,1.0609E+12
418, Miles for training run,7
418, Training time,3447000
418, Shoe brand,0
418, Running pace per mile,492420
418, Short or long,0
418, After 2004,0
419,Training date,1.06098E+12
419, Miles for training run,10
419, Training time,5059980
419, Shoe brand,0
419, Running pace per mile,505980
419, Short or long,0
419, After 2004,0
420,Training date,1.06107E+12
420, Miles for training run,5
420, Training time,2313000
420, Shoe brand,0
420, Running pace per mile,462600
420, Short or long,1
420, After 2004,0
421,Training date,1.06116E+12
421, Miles for training run,7
421, Training time,3403980
421, Shoe brand,0
421, Running pace per mile,486300
421, Short or long,0
421, After 2004,0
422,Training date,1.06124E+12
422, Miles for training run,4
422, Training time,1848000
422, Shoe brand,0
422, Running pace per mile,462000
422, Short or long,1
422, After 2004,0
423,Training date,1.06133E+12
423, Miles for training run,12
423, Training time,5859000
423, Shoe brand,0
423, Running pace per mile,488280
423, Short or long,0
423, After 2004,0
424,Training date,1.0615E+12
424, Miles for training run,7
424, Training time,3390000
424, Shoe brand,0
424, Running pace per mile,484260
424, Short or long,0
424, After 2004,0
425,Training date,1.06159E+12
425, Miles for training run,10
425, Training time,5028000
425, Shoe brand,0
425, Running pace per mile,502800
425, Short or long,0
425, After 2004,0
426,Training date,1.06168E+12
426, Miles for training run,5
426, Training time,2359020
426, Shoe brand,0
426, Running pace per mile,471780
426, Short or long,1
426, After 2004,0
427,Training date,1.06176E+12
427, Miles for training run,7
427, Training time,3343020
427, Shoe brand,0
427, Running pace per mile,477600
427, Short or long,0
427, After 2004,0
428,Training date,1.06185E+12
428, Miles for training run,4
428, Training time,1932000
428, Shoe brand,0
428, Running pace per mile,483000
428, Short or long,1
428, After 2004,0
429,Training date,1.06194E+12
429, Miles for training run,16
429, Training time,8737020
429, Shoe brand,0
429, Running pace per mile,546060
429, Short or long,0
429, After 2004,0
430,Training date,1.06211E+12
430, Miles for training run,7
430, Training time,3333000
430, Shoe brand,0
430, Running pace per mile,476160
430, Short or long,0
430, After 2004,0
431,Training date,1.06219E+12
431, Miles for training run,10
431, Training time,4887000
431, Shoe brand,0
431, Running pace per mile,488700
431, Short or long,0
431, After 2004,0
432,Training date,1.06228E+12
432, Miles for training run,5
432, Training time,2290020
432, Shoe brand,0
432, Running pace per mile,457980
432, Short or long,1
432, After 2004,0
433,Training date,1.06237E+12
433, Miles for training run,8
433, Training time,3952980
433, Shoe brand,0
433, Running pace per mile,494100
433, Short or long,0
433, After 2004,0
434,Training date,1.06245E+12
434, Miles for training run,6
434, Training time,2779980
434, Shoe brand,0
434, Running pace per mile,463320
434, Short or long,0
434, After 2004,0
435,Training date,1.06254E+12
435, Miles for training run,14.4
435, Training time,7243980
435, Shoe brand,0
435, Running pace per mile,503040
435, Short or long,0
435, After 2004,0
436,Training date,1.06271E+12
436, Miles for training run,7
436, Training time,3300000
436, Shoe brand,0
436, Running pace per mile,471420
436, Short or long,0
436, After 2004,0
437,Training date,1.0628E+12
437, Miles for training run,12
437, Training time,5865000
437, Shoe brand,0
437, Running pace per mile,488760
437, Short or long,0
437, After 2004,0
438,Training date,1.06289E+12
438, Miles for training run,6
438, Training time,2851980
438, Shoe brand,0
438, Running pace per mile,475320
438, Short or long,0
438, After 2004,0
439,Training date,1.06297E+12
439, Miles for training run,8
439, Training time,3904980
439, Shoe brand,0
439, Running pace per mile,488100
439, Short or long,0
439, After 2004,0
440,Training date,1.06306E+12
440, Miles for training run,5
440, Training time,2391000
440, Shoe brand,0
440, Running pace per mile,478200
440, Short or long,1
440, After 2004,0
441,Training date,1.06314E+12
441, Miles for training run,16.8
441, Training time,8851020
441, Shoe brand,0
441, Running pace per mile,526860
441, Short or long,0
441, After 2004,0
442,Training date,1.06332E+12
442, Miles for training run,7
442, Training time,3370020
442, Shoe brand,0
442, Running pace per mile,481440
442, Short or long,0
442, After 2004,0
443,Training date,1.0634E+12
443, Miles for training run,10
443, Training time,5242980
443, Shoe brand,0
443, Running pace per mile,524280
443, Short or long,0
443, After 2004,0
444,Training date,1.06349E+12
444, Miles for training run,6
444, Training time,2880000
444, Shoe brand,0
444, Running pace per mile,480000
444, Short or long,0
444, After 2004,0
445,Training date,1.06358E+12
445, Miles for training run,7.5
445, Training time,4207980
445, Shoe brand,0
445, Running pace per mile,561060
445, Short or long,0
445, After 2004,0
446,Training date,1.06366E+12
446, Miles for training run,5
446, Training time,2305020
446, Shoe brand,0
446, Running pace per mile,460980
446, Short or long,1
446, After 2004,0
447,Training date,1.06375E+12
447, Miles for training run,14.4
447, Training time,7150020
447, Shoe brand,0
447, Running pace per mile,496500
447, Short or long,0
447, After 2004,0
448,Training date,1.06392E+12
448, Miles for training run,7
448, Training time,3349980
448, Shoe brand,0
448, Running pace per mile,478560
448, Short or long,0
448, After 2004,0
449,Training date,1.06401E+12
449, Miles for training run,12
449, Training time,5793000
449, Shoe brand,0
449, Running pace per mile,482760
449, Short or long,0
449, After 2004,0
450,Training date,1.0641E+12
450, Miles for training run,4
450, Training time,2100000
450, Shoe brand,0
450, Running pace per mile,525000
450, Short or long,1
450, After 2004,0
451,Training date,1.06418E+12
451, Miles for training run,8
451, Training time,3858000
451, Shoe brand,0
451, Running pace per mile,482280
451, Short or long,0
451, After 2004,0
452,Training date,1.06427E+12
452, Miles for training run,5
452, Training time,2212980
452, Shoe brand,0
452, Running pace per mile,442620
452, Short or long,1
452, After 2004,0
453,Training date,1.06435E+12
453, Miles for training run,21.4
453, Training time,10918980
453, Shoe brand,0
453, Running pace per mile,510240
453, Short or long,0
453, After 2004,0
454,Training date,1.06453E+12
454, Miles for training run,7
454, Training time,3328020
454, Shoe brand,0
454, Running pace per mile,475440
454, Short or long,0
454, After 2004,0
455,Training date,1.06461E+12
455, Miles for training run,10
455, Training time,4915020
455, Shoe brand,0
455, Running pace per mile,491520
455, Short or long,0
455, After 2004,0
456,Training date,1.0647E+12
456, Miles for training run,6
456, Training time,2905020
456, Shoe brand,0
456, Running pace per mile,484140
456, Short or long,0
456, After 2004,0
457,Training date,1.06479E+12
457, Miles for training run,8
457, Training time,3925020
457, Shoe brand,0
457, Running pace per mile,490620
457, Short or long,0
457, After 2004,0
458,Training date,1.06487E+12
458, Miles for training run,5
458, Training time,2239980
458, Shoe brand,0
458, Running pace per mile,448020
458, Short or long,1
458, After 2004,0
459,Training date,1.06496E+12
459, Miles for training run,16
459, Training time,7795980
459, Shoe brand,0
459, Running pace per mile,487260
459, Short or long,0
459, After 2004,0
460,Training date,1.06505E+12
460, Miles for training run,7
460, Training time,3262020
460, Shoe brand,0
460, Running pace per mile,466020
460, Short or long,0
460, After 2004,0
461,Training date,1.06513E+12
461, Miles for training run,12
461, Training time,5881020
461, Shoe brand,0
461, Running pace per mile,490080
461, Short or long,0
461, After 2004,0
462,Training date,1.06522E+12
462, Miles for training run,6
462, Training time,2848020
462, Shoe brand,0
462, Running pace per mile,474660
462, Short or long,0
462, After 2004,0
463,Training date,1.0653E+12
463, Miles for training run,8
463, Training time,3600000
463, Shoe brand,0
463, Running pace per mile,450000
463, Short or long,0
463, After 2004,0
464,Training date,1.06539E+12
464, Miles for training run,5
464, Training time,2223000
464, Shoe brand,0
464, Running pace per mile,444600
464, Short or long,1
464, After 2004,0
465,Training date,1.06548E+12
465, Miles for training run,21.6
465, Training time,12322020
465, Shoe brand,0
465, Running pace per mile,570480
465, Short or long,0
465, After 2004,0
466,Training date,1.06565E+12
466, Miles for training run,7
466, Training time,3229980
