Movie,Attribute,Value
While We're Young (2015),Rotten Tomatoes,4.15
Clouds of Sils Maria (2015),Fandango,3.4
Clouds of Sils Maria (2015),IMDB,3.4
Clouds of Sils Maria (2015),Metacritic (u),3.55
Clouds of Sils Maria (2015),Metacritic,3.9
Clouds of Sils Maria (2015),Rotten Tomatoes (u),3.35
Clouds of Sils Maria (2015),Rotten Tomatoes,4.45
Testament of Youth (2015),Fandango,3.9
Testament of Youth (2015),IMDB,3.65
Testament of Youth (2015),Metacritic (u),3.95
Testament of Youth (2015),Metacritic,3.85
Testament of Youth (2015),Rotten Tomatoes (u),3.95
Testament of Youth (2015),Rotten Tomatoes,4.05
Infinitely Polar Bear (2015),Fandango,3.9
Infinitely Polar Bear (2015),IMDB,3.6
Infinitely Polar Bear (2015),Metacritic (u),3.95
Infinitely Polar Bear (2015),Metacritic,3.2
Infinitely Polar Bear (2015),Rotten Tomatoes (u),3.8
Infinitely Polar Bear (2015),Rotten Tomatoes,4
Phoenix (2015),Fandango,3.4
Phoenix (2015),IMDB,3.6
Phoenix (2015),Metacritic (u),4
Phoenix (2015),Metacritic,4.55
Phoenix (2015),Rotten Tomatoes (u),4.05
Phoenix (2015),Rotten Tomatoes,4.95
The Wolfpack (2015),Fandango,3.4
The Wolfpack (2015),IMDB,3.55
The Wolfpack (2015),Metacritic (u),3.5
The Wolfpack (2015),Metacritic,3.75
The Wolfpack (2015),Rotten Tomatoes (u),3.65
The Wolfpack (2015),Rotten Tomatoes,4.2
The Stanford Prison Experiment (2015),Fandango,3.9
The Stanford Prison Experiment (2015),IMDB,3.55
The Stanford Prison Experiment (2015),Metacritic (u),4.25
The Stanford Prison Experiment (2015),Metacritic,3.4
The Stanford Prison Experiment (2015),Rotten Tomatoes (u),4.35
The Stanford Prison Experiment (2015),Rotten Tomatoes,4.2
Tangerine (2015),Fandango,3.9
Tangerine (2015),IMDB,3.7
Tangerine (2015),Metacritic (u),3.65
Tangerine (2015),Metacritic,4.3
Tangerine (2015),Rotten Tomatoes (u),4.3
Tangerine (2015),Rotten Tomatoes,4.75
Magic Mike XXL (2015),Fandango,4.4
Magic Mike XXL (2015),IMDB,3.15
Magic Mike XXL (2015),Metacritic (u),2.7
Magic Mike XXL (2015),Metacritic,3
Magic Mike XXL (2015),Rotten Tomatoes (u),3.2
Magic Mike XXL (2015),Rotten Tomatoes,3.1
Home (2015),Fandango,4.4
Home (2015),IMDB,3.35
Home (2015),Metacritic (u),3.65
Home (2015),Metacritic,2.75
Home (2015),Rotten Tomatoes (u),3.25
Home (2015),Rotten Tomatoes,2.25
The Wedding Ringer (2015),Fandango,4.4
The Wedding Ringer (2015),IMDB,3.35
The Wedding Ringer (2015),Metacritic (u),1.65
The Wedding Ringer (2015),Metacritic,1.75
The Wedding Ringer (2015),Rotten Tomatoes (u),3.3
The Wedding Ringer (2015),Rotten Tomatoes,1.35
Woman in Gold (2015),Fandango,4.4
Woman in Gold (2015),IMDB,3.7
Woman in Gold (2015),Metacritic (u),3.6
Woman in Gold (2015),Metacritic,2.55
Woman in Gold (2015),Rotten Tomatoes (u),4.05
Woman in Gold (2015),Rotten Tomatoes,2.6
The Last Five Years (2015),Fandango,4.4
The Last Five Years (2015),IMDB,3
The Last Five Years (2015),Metacritic (u),3.45
The Last Five Years (2015),Metacritic,3
The Last Five Years (2015),Rotten Tomatoes (u),3
The Last Five Years (2015),Rotten Tomatoes,3
Mission: Impossible Rogue Nation (2015),Fandango,4.4
Mission: Impossible Rogue Nation (2015),IMDB,3.9
Mission: Impossible Rogue Nation (2015),Metacritic (u),4
Mission: Impossible Rogue Nation (2015),Metacritic,3.75
Mission: Impossible Rogue Nation (2015),Rotten Tomatoes (u),4.5
Mission: Impossible Rogue Nation (2015),Rotten Tomatoes,4.6
Amy (2015),Fandango,4.4
Amy (2015),IMDB,4
Amy (2015),Metacritic (u),4.4
Amy (2015),Metacritic,4.25
Amy (2015),Rotten Tomatoes (u),4.55
Amy (2015),Rotten Tomatoes,4.85
Jurassic World (2015),Fandango,4.5
Jurassic World (2015),IMDB,3.65
Jurassic World (2015),Metacritic (u),3.5
Jurassic World (2015),Metacritic,2.95
Jurassic World (2015),Rotten Tomatoes (u),4.05
Jurassic World (2015),Rotten Tomatoes,3.55
Minions (2015),Fandango,4
Minions (2015),IMDB,3.35
Minions (2015),Metacritic (u),2.85
Minions (2015),Metacritic,2.8
Minions (2015),Rotten Tomatoes (u),2.6
Minions (2015),Rotten Tomatoes,2.7
Max (2015),Fandango,4.5
Max (2015),IMDB,3.5
Max (2015),Metacritic (u),2.95
Max (2015),Metacritic,2.35
Max (2015),Rotten Tomatoes (u),3.65
Max (2015),Rotten Tomatoes,1.75
Paul Blart: Mall Cop 2 (2015),Fandango,3.5
Paul Blart: Mall Cop 2 (2015),IMDB,2.15
Paul Blart: Mall Cop 2 (2015),Metacritic (u),1.2
Paul Blart: Mall Cop 2 (2015),Metacritic,0.65
Paul Blart: Mall Cop 2 (2015),Rotten Tomatoes (u),1.8
Paul Blart: Mall Cop 2 (2015),Rotten Tomatoes,0.25
The Longest Ride (2015),Fandango,4.5
The Longest Ride (2015),IMDB,3.6
The Longest Ride (2015),Metacritic (u),2.4
The Longest Ride (2015),Metacritic,1.65
The Longest Ride (2015),Rotten Tomatoes (u),3.65
The Longest Ride (2015),Rotten Tomatoes,1.55
The Lazarus Effect (2015),Fandango,3
The Lazarus Effect (2015),IMDB,2.6
The Lazarus Effect (2015),Metacritic (u),2.45
The Lazarus Effect (2015),Metacritic,1.55
The Lazarus Effect (2015),Rotten Tomatoes (u),1.15
The Lazarus Effect (2015),Rotten Tomatoes,0.7
The Woman In Black 2 Angel of Death (2015),Fandango,3
The Woman In Black 2 Angel of Death (2015),IMDB,2.45
The Woman In Black 2 Angel of Death (2015),Metacritic (u),2.2
The Woman In Black 2 Angel of Death (2015),Metacritic,2.1
The Woman In Black 2 Angel of Death (2015),Rotten Tomatoes (u),1.25
The Woman In Black 2 Angel of Death (2015),Rotten Tomatoes,1.1
Danny Collins (2015),Fandango,4
Danny Collins (2015),IMDB,3.55
Danny Collins (2015),Metacritic (u),3.55
Danny Collins (2015),Metacritic,2.9
Danny Collins (2015),Rotten Tomatoes (u),3.75
Danny Collins (2015),Rotten Tomatoes,3.85
Spare Parts (2015),Fandango,4.5
Spare Parts (2015),IMDB,3.6
Spare Parts (2015),Metacritic (u),3.55
Spare Parts (2015),Metacritic,2.5
Spare Parts (2015),Rotten Tomatoes (u),4.15
Spare Parts (2015),Rotten Tomatoes,2.6
Serena (2015),Fandango,3
Serena (2015),IMDB,2.7
Serena (2015),Metacritic (u),2.65
Serena (2015),Metacritic,1.8
Serena (2015),Rotten Tomatoes (u),1.25
Serena (2015),Rotten Tomatoes,0.9
Inside Out (2015),Fandango,4.5
Inside Out (2015),IMDB,4.3
Inside Out (2015),Metacritic (u),4.45
Inside Out (2015),Metacritic,4.7
Inside Out (2015),Rotten Tomatoes (u),4.5
Inside Out (2015),Rotten Tomatoes,4.9
Mr. Holmes (2015),Fandango,4
Mr. Holmes (2015),IMDB,3.7
Mr. Holmes (2015),Metacritic (u),3.95
Mr. Holmes (2015),Metacritic,3.35
Mr. Holmes (2015),Rotten Tomatoes (u),3.9
Mr. Holmes (2015),Rotten Tomatoes,4.35
'71 (2015),Fandango,3.5
'71 (2015),IMDB,3.6
'71 (2015),Metacritic (u),3.75
'71 (2015),Metacritic,4.15
'71 (2015),Rotten Tomatoes (u),4.1
'71 (2015),Rotten Tomatoes,4.85
Gett: The Trial of Viviane Amsalem (2015),Fandango,3.5
Gett: The Trial of Viviane Amsalem (2015),IMDB,3.9
Gett: The Trial of Viviane Amsalem (2015),Metacritic (u),3.65
Gett: The Trial of Viviane Amsalem (2015),Metacritic,4.5
Gett: The Trial of Viviane Amsalem (2015),Rotten Tomatoes (u),4.05
Gett: The Trial of Viviane Amsalem (2015),Rotten Tomatoes,5
"Kumiko, The Treasure Hunter (2015)",Fandango,3.5
"Kumiko, The Treasure Hunter (2015)",IMDB,3.35
"Kumiko, The Treasure Hunter (2015)",Metacritic (u),3.2
"Kumiko, The Treasure Hunter (2015)",Metacritic,3.4
"Kumiko, The Treasure Hunter (2015)",Rotten Tomatoes (u),3.15
"Kumiko, The Treasure Hunter (2015)",Rotten Tomatoes,4.35
