name,Attribute,Value
Ford Fairmont,displacement(cc),140
Ford Fairmont,power(hp),88
Ford Fiesta,economy(mpg),36.1
Ford Fiesta,cylinders,4
Ford Fiesta,displacement(cc),98
Ford Fiesta,power(hp),66
Ford Futura,economy(mpg),18.1
Ford Futura,cylinders,8
Ford Futura,displacement(cc),302
Ford Futura,power(hp),139
Ford Galaxie 500,economy(mpg),14
Ford Galaxie 500,cylinders,8
Ford Galaxie 500,displacement(cc),351
Ford Galaxie 500,power(hp),153
Ford Galaxie 500,economy(mpg),14
Ford Galaxie 500,cylinders,8
Ford Galaxie 500,displacement(cc),351
Ford Galaxie 500,power(hp),153
Ford Galaxie 500,economy(mpg),15
Ford Galaxie 500,cylinders,8
Ford Galaxie 500,displacement(cc),429
Ford Galaxie 500,power(hp),198
Ford Gran Torino (Wagon),economy(mpg),13
Ford Gran Torino (Wagon),cylinders,8
Ford Gran Torino (Wagon),displacement(cc),302
Ford Gran Torino (Wagon),power(hp),140
Ford Gran Torino (Wagon),economy(mpg),14
Ford Gran Torino (Wagon),cylinders,8
Ford Gran Torino (Wagon),displacement(cc),302
Ford Gran Torino (Wagon),power(hp),140
Ford Gran Torino,economy(mpg),14
Ford Gran Torino,cylinders,8
Ford Gran Torino,displacement(cc),302
Ford Gran Torino,power(hp),137
Ford Gran Torino,economy(mpg),14.5
Ford Gran Torino,cylinders,8
Ford Gran Torino,displacement(cc),351
Ford Gran Torino,power(hp),152
Ford Gran Torino,economy(mpg),16
Ford Gran Torino,cylinders,8
Ford Gran Torino,displacement(cc),302
Ford Gran Torino,power(hp),140
Ford Granada Ghia,economy(mpg),18
Ford Granada Ghia,cylinders,6
Ford Granada Ghia,displacement(cc),250
Ford Granada Ghia,power(hp),78
Ford Granada GL,economy(mpg),20.2
Ford Granada GL,cylinders,6
Ford Granada GL,displacement(cc),200
Ford Granada GL,power(hp),88
Ford Granada L,economy(mpg),22
Ford Granada L,cylinders,6
Ford Granada L,displacement(cc),232
Ford Granada L,power(hp),112
Ford Granada,economy(mpg),18.5
Ford Granada,cylinders,6
Ford Granada,displacement(cc),250
Ford Granada,power(hp),98
Ford LTD Landau,economy(mpg),17.6
Ford LTD Landau,cylinders,8
Ford LTD Landau,displacement(cc),302
Ford LTD Landau,power(hp),129
Ford LTD,economy(mpg),13
Ford LTD,cylinders,8
Ford LTD,displacement(cc),351
Ford LTD,power(hp),158
Ford LTD,economy(mpg),14
Ford LTD,cylinders,8
Ford LTD,displacement(cc),351
Ford LTD,power(hp),148
Ford Maverick,economy(mpg),15
Ford Maverick,cylinders,6
Ford Maverick,displacement(cc),250
Ford Maverick,power(hp),72
Ford Maverick,economy(mpg),18
Ford Maverick,cylinders,6
Ford Maverick,displacement(cc),250
Ford Maverick,power(hp),88
Ford Maverick,economy(mpg),21
Ford Maverick,cylinders,6
Ford Maverick,displacement(cc),200
Ford Maverick,power(hp),-1
Ford Maverick,economy(mpg),21
Ford Maverick,cylinders,6
Ford Maverick,displacement(cc),200
Ford Maverick,power(hp),85
Ford Maverick,economy(mpg),24
Ford Maverick,cylinders,6
Ford Maverick,displacement(cc),200
Ford Maverick,power(hp),81
Ford Mustang Boss 302,economy(mpg),-1
Ford Mustang Boss 302,cylinders,8
Ford Mustang Boss 302,displacement(cc),302
Ford Mustang Boss 302,power(hp),140
Ford Mustang Cobra,economy(mpg),23.6
Ford Mustang Cobra,cylinders,4
Ford Mustang Cobra,displacement(cc),140
Ford Mustang Cobra,power(hp),-1
Ford Mustang GL,economy(mpg),27
Ford Mustang GL,cylinders,4
Ford Mustang GL,displacement(cc),140
Ford Mustang GL,power(hp),86
Ford Mustang II 2+2,economy(mpg),25.5
Ford Mustang II 2+2,cylinders,4
Ford Mustang II 2+2,displacement(cc),140
Ford Mustang II 2+2,power(hp),89
Ford Mustang II,economy(mpg),13
Ford Mustang II,cylinders,8
Ford Mustang II,displacement(cc),302
Ford Mustang II,power(hp),129
Ford Mustang,economy(mpg),18
Ford Mustang,cylinders,6
Ford Mustang,displacement(cc),250
Ford Mustang,power(hp),88
Ford Pinto (Wagon),economy(mpg),22
Ford Pinto (Wagon),cylinders,4
Ford Pinto (Wagon),displacement(cc),122
Ford Pinto (Wagon),power(hp),86
Ford Pinto Runabout,economy(mpg),21
Ford Pinto Runabout,cylinders,4
Ford Pinto Runabout,displacement(cc),122
Ford Pinto Runabout,power(hp),86
Ford Pinto,economy(mpg),18
Ford Pinto,cylinders,6
Ford Pinto,displacement(cc),171
Ford Pinto,power(hp),97
Ford Pinto,economy(mpg),19
Ford Pinto,cylinders,4
Ford Pinto,displacement(cc),122
Ford Pinto,power(hp),85
Ford Pinto,economy(mpg),23
Ford Pinto,cylinders,4
Ford Pinto,displacement(cc),140
Ford Pinto,power(hp),83
Ford Pinto,economy(mpg),25
Ford Pinto,cylinders,4
Ford Pinto,displacement(cc),98
Ford Pinto,power(hp),-1
Ford Pinto,economy(mpg),26
Ford Pinto,cylinders,4
Ford Pinto,displacement(cc),122
Ford Pinto,power(hp),80
Ford Pinto,economy(mpg),26.5
Ford Pinto,cylinders,4
Ford Pinto,displacement(cc),140
Ford Pinto,power(hp),72
Ford Ranger,economy(mpg),28
Ford Ranger,cylinders,4
Ford Ranger,displacement(cc),120
Ford Ranger,power(hp),79
Ford Thunderbird,economy(mpg),16
Ford Thunderbird,cylinders,8
Ford Thunderbird,displacement(cc),351
Ford Thunderbird,power(hp),149
Ford Torino (Wagon),economy(mpg),-1
Ford Torino (Wagon),cylinders,8
Ford Torino (Wagon),displacement(cc),351
Ford Torino (Wagon),power(hp),153
Ford Torino 500,economy(mpg),19
Ford Torino 500,cylinders,6
Ford Torino 500,displacement(cc),250
Ford Torino 500,power(hp),88
Ford Torino,economy(mpg),17
Ford Torino,cylinders,8
Ford Torino,displacement(cc),302
Ford Torino,power(hp),140
Hi 1200D,economy(mpg),9
Hi 1200D,cylinders,8
Hi 1200D,displacement(cc),304
Hi 1200D,power(hp),193
Honda Accord CVCC,economy(mpg),31.5
Honda Accord CVCC,cylinders,4
Honda Accord CVCC,displacement(cc),98
Honda Accord CVCC,power(hp),68
Honda Accord LX,economy(mpg),29.5
Honda Accord LX,cylinders,4
Honda Accord LX,displacement(cc),98
Honda Accord LX,power(hp),68
Honda Accord,economy(mpg),32.4
Honda Accord,cylinders,4
Honda Accord,displacement(cc),107
Honda Accord,power(hp),72
Honda Accord,economy(mpg),36
Honda Accord,cylinders,4
Honda Accord,displacement(cc),107
Honda Accord,power(hp),75
Honda Civic (Auto),economy(mpg),32
Honda Civic (Auto),cylinders,4
Honda Civic (Auto),displacement(cc),91
Honda Civic (Auto),power(hp),67
Honda Civic 1300,economy(mpg),35.1
Honda Civic 1300,cylinders,4
Honda Civic 1300,displacement(cc),81
Honda Civic 1300,power(hp),60
Honda Civic 1500 GL,economy(mpg),44.6
Honda Civic 1500 GL,cylinders,4
Honda Civic 1500 GL,displacement(cc),91
Honda Civic 1500 GL,power(hp),67
Honda Civic CVCC,economy(mpg),33
Honda Civic CVCC,cylinders,4
Honda Civic CVCC,displacement(cc),91
Honda Civic CVCC,power(hp),53
Honda Civic CVCC,economy(mpg),36.1
Honda Civic CVCC,cylinders,4
Honda Civic CVCC,displacement(cc),91
Honda Civic CVCC,power(hp),60
Honda Civic,economy(mpg),24
Honda Civic,cylinders,4
Honda Civic,displacement(cc),120
Honda Civic,power(hp),97
Honda Civic,economy(mpg),33
Honda Civic,cylinders,4
Honda Civic,displacement(cc),91
Honda Civic,power(hp),53
Honda Civic,economy(mpg),38
Honda Civic,cylinders,4
Honda Civic,displacement(cc),91
Honda Civic,power(hp),67
Honda Prelude,economy(mpg),33.7
Honda Prelude,cylinders,4
Honda Prelude,displacement(cc),107
Honda Prelude,power(hp),75
Maxda GLC Deluxe,economy(mpg),34.1
Maxda GLC Deluxe,cylinders,4
Maxda GLC Deluxe,displacement(cc),86
Maxda GLC Deluxe,power(hp),65
Maxda RX-3,economy(mpg),18
Maxda RX-3,cylinders,3
Maxda RX-3,displacement(cc),70
Maxda RX-3,power(hp),90
Mazda 626,economy(mpg),31.3
Mazda 626,cylinders,4
Mazda 626,displacement(cc),120
Mazda 626,power(hp),75
Mazda 626,economy(mpg),31.6
Mazda 626,cylinders,4
Mazda 626,displacement(cc),120
Mazda 626,power(hp),74
Mazda GLC 4,economy(mpg),34.1
Mazda GLC 4,cylinders,4
Mazda GLC 4,displacement(cc),91
Mazda GLC 4,power(hp),68
Mazda GLC Custom L,economy(mpg),37
Mazda GLC Custom L,cylinders,4
Mazda GLC Custom L,displacement(cc),91
Mazda GLC Custom L,power(hp),68
Mazda GLC Custom,economy(mpg),31
Mazda GLC Custom,cylinders,4
Mazda GLC Custom,displacement(cc),91
Mazda GLC Custom,power(hp),68
Mazda GLC Deluxe,economy(mpg),32.8
Mazda GLC Deluxe,cylinders,4
Mazda GLC Deluxe,displacement(cc),78
Mazda GLC Deluxe,power(hp),52
Mazda GLC,economy(mpg),46.6
Mazda GLC,cylinders,4
Mazda GLC,displacement(cc),86
Mazda GLC,power(hp),65
Mazda RX-2 Coupe,economy(mpg),19
Mazda RX-2 Coupe,cylinders,3
Mazda RX-2 Coupe,displacement(cc),70
Mazda RX-2 Coupe,power(hp),97
Mazda RX-4,economy(mpg),21.5
Mazda RX-4,cylinders,3
Mazda RX-4,displacement(cc),80
Mazda RX-4,power(hp),110
Mazda RX-7 Gs,economy(mpg),23.7
Mazda RX-7 Gs,cylinders,3
Mazda RX-7 Gs,displacement(cc),70
Mazda RX-7 Gs,power(hp),100
Mercedes-Benz 240D,economy(mpg),30
Mercedes-Benz 240D,cylinders,4
Mercedes-Benz 240D,displacement(cc),146
Mercedes-Benz 240D,power(hp),67
Mercedes-Benz 280S,economy(mpg),16.5
Mercedes-Benz 280S,cylinders,6
Mercedes-Benz 280S,displacement(cc),168
Mercedes-Benz 280S,power(hp),120
Mercedes-Benz 300D,economy(mpg),25.4
Mercedes-Benz 300D,cylinders,5
Mercedes-Benz 300D,displacement(cc),183
Mercedes-Benz 300D,power(hp),77
Mercury Capri 2000,economy(mpg),23
Mercury Capri 2000,cylinders,4
Mercury Capri 2000,displacement(cc),122
Mercury Capri 2000,power(hp),86
Mercury Capri V6,economy(mpg),21
Mercury Capri V6,cylinders,6
Mercury Capri V6,displacement(cc),155
Mercury Capri V6,power(hp),107
Mercury Cougar Brougham,economy(mpg),15
Mercury Cougar Brougham,cylinders,8
Mercury Cougar Brougham,displacement(cc),302
Mercury Cougar Brougham,power(hp),130
Mercury Grand Marquis,economy(mpg),16.5
Mercury Grand Marquis,cylinders,8
Mercury Grand Marquis,displacement(cc),351
Mercury Grand Marquis,power(hp),138
Mercury Lynx L,economy(mpg),36
Mercury Lynx L,cylinders,4
Mercury Lynx L,displacement(cc),98
Mercury Lynx L,power(hp),70
Mercury Marquis Brougham,economy(mpg),12
Mercury Marquis Brougham,cylinders,8
Mercury Marquis Brougham,displacement(cc),429
Mercury Marquis Brougham,power(hp),198
Mercury Marquis,economy(mpg),11
Mercury Marquis,cylinders,8
Mercury Marquis,displacement(cc),429
Mercury Marquis,power(hp),208
Mercury Monarch Ghia,economy(mpg),20.2
Mercury Monarch Ghia,cylinders,8
Mercury Monarch Ghia,displacement(cc),302
Mercury Monarch Ghia,power(hp),139
Mercury Monarch,economy(mpg),15
Mercury Monarch,cylinders,6
Mercury Monarch,displacement(cc),250
Mercury Monarch,power(hp),72
Mercury Zephyr 6,economy(mpg),19.8
Mercury Zephyr 6,cylinders,6
Mercury Zephyr 6,displacement(cc),200
Mercury Zephyr 6,power(hp),85
Mercury Zephyr,economy(mpg),20.8
Mercury Zephyr,cylinders,6
Mercury Zephyr,displacement(cc),200
Mercury Zephyr,power(hp),85
Nissan Stanza XE,economy(mpg),36
Nissan Stanza XE,cylinders,4
Nissan Stanza XE,displacement(cc),120
Nissan Stanza XE,power(hp),88
Oldsmobile Cutlass Ciera (Diesel),economy(mpg),38
Oldsmobile Cutlass Ciera (Diesel),cylinders,6
Oldsmobile Cutlass Ciera (Diesel),displacement(cc),262
Oldsmobile Cutlass Ciera (Diesel),power(hp),85
Oldsmobile Cutlass LS,economy(mpg),26.6
Oldsmobile Cutlass LS,cylinders,8
Oldsmobile Cutlass LS,displacement(cc),350
Oldsmobile Cutlass LS,power(hp),105
Oldsmobile Cutlass Salon Brougham,economy(mpg),19.9
Oldsmobile Cutlass Salon Brougham,cylinders,8
Oldsmobile Cutlass Salon Brougham,displacement(cc),260
Oldsmobile Cutlass Salon Brougham,power(hp),110
Oldsmobile Cutlass Salon Brougham,economy(mpg),23.9
Oldsmobile Cutlass Salon Brougham,cylinders,8
Oldsmobile Cutlass Salon Brougham,displacement(cc),260
Oldsmobile Cutlass Salon Brougham,power(hp),90
Oldsmobile Cutlass Supreme,economy(mpg),17
Oldsmobile Cutlass Supreme,cylinders,8
Oldsmobile Cutlass Supreme,displacement(cc),260
Oldsmobile Cutlass Supreme,power(hp),110
Oldsmobile Delta 88 Royale,economy(mpg),12
Oldsmobile Delta 88 Royale,cylinders,8
Oldsmobile Delta 88 Royale,displacement(cc),350
Oldsmobile Delta 88 Royale,power(hp),160
Oldsmobile Omega Brougham,economy(mpg),26.8
Oldsmobile Omega Brougham,cylinders,6
Oldsmobile Omega Brougham,displacement(cc),173
Oldsmobile Omega Brougham,power(hp),115
Oldsmobile Omega,economy(mpg),11
Oldsmobile Omega,cylinders,8
Oldsmobile Omega,displacement(cc),350
Oldsmobile Omega,power(hp),180
Oldsmobile Starfire SX,economy(mpg),23.8
Oldsmobile Starfire SX,cylinders,4
Oldsmobile Starfire SX,displacement(cc),151
Oldsmobile Starfire SX,power(hp),85
Oldsmobile Vista Cruiser,economy(mpg),12
Oldsmobile Vista Cruiser,cylinders,8
Oldsmobile Vista Cruiser,displacement(cc),350
Oldsmobile Vista Cruiser,power(hp),180
Opel 1900,economy(mpg),25
Opel 1900,cylinders,4
Opel 1900,displacement(cc),116
Opel 1900,power(hp),81
Opel 1900,economy(mpg),28
Opel 1900,cylinders,4
Opel 1900,displacement(cc),116
Opel 1900,power(hp),90
Opel Manta,economy(mpg),24
Opel Manta,cylinders,4
Opel Manta,displacement(cc),116
Opel Manta,power(hp),75
Opel Manta,economy(mpg),26
Opel Manta,cylinders,4
Opel Manta,displacement(cc),97
Opel Manta,power(hp),78
Peugeot 304,economy(mpg),30
Peugeot 304,cylinders,4
Peugeot 304,displacement(cc),79
Peugeot 304,power(hp),70
Peugeot 504 (Wagon),economy(mpg),21
Peugeot 504 (Wagon),cylinders,4
Peugeot 504 (Wagon),displacement(cc),120
Peugeot 504 (Wagon),power(hp),87
Peugeot 504,economy(mpg),19
Peugeot 504,cylinders,4
Peugeot 504,displacement(cc),120
Peugeot 504,power(hp),88
Peugeot 504,economy(mpg),23
Peugeot 504,cylinders,4
Peugeot 504,displacement(cc),120
Peugeot 504,power(hp),88
Peugeot 504,economy(mpg),25
Peugeot 504,cylinders,4
Peugeot 504,displacement(cc),110
Peugeot 504,power(hp),87
Peugeot 504,economy(mpg),27.2
Peugeot 504,cylinders,4
Peugeot 504,displacement(cc),141
Peugeot 504,power(hp),71
Peugeot 505S Turbo Diesel,economy(mpg),28.1
Peugeot 505S Turbo Diesel,cylinders,4
Peugeot 505S Turbo Diesel,displacement(cc),141
Peugeot 505S Turbo Diesel,power(hp),80
Peugeot 604SL,economy(mpg),16.2
Peugeot 604SL,cylinders,6
Peugeot 604SL,displacement(cc),163
Peugeot 604SL,power(hp),133
Plymouth Arrow GS,economy(mpg),25.5
Plymouth Arrow GS,cylinders,4
Plymouth Arrow GS,displacement(cc),122
Plymouth Arrow GS,power(hp),96
Plymouth Barracuda 340,economy(mpg),14
Plymouth Barracuda 340,cylinders,8
Plymouth Barracuda 340,displacement(cc),340
Plymouth Barracuda 340,power(hp),160
Plymouth Champ,economy(mpg),39
Plymouth Champ,cylinders,4
Plymouth Champ,displacement(cc),86
Plymouth Champ,power(hp),64
Plymouth Cricket,economy(mpg),26
Plymouth Cricket,cylinders,4
Plymouth Cricket,displacement(cc),91
Plymouth Cricket,power(hp),70
Plymouth Custom Suburb,economy(mpg),13
Plymouth Custom Suburb,cylinders,8
Plymouth Custom Suburb,displacement(cc),360
Plymouth Custom Suburb,power(hp),170
Plymouth Duster,economy(mpg),20
Plymouth Duster,cylinders,6
Plymouth Duster,displacement(cc),198
Plymouth Duster,power(hp),95
Plymouth Duster,economy(mpg),22
Plymouth Duster,cylinders,6
Plymouth Duster,displacement(cc),198
Plymouth Duster,power(hp),95
Plymouth Duster,economy(mpg),23
Plymouth Duster,cylinders,6
Plymouth Duster,displacement(cc),198
Plymouth Duster,power(hp),95
Plymouth Fury Gran Sedan,economy(mpg),14
Plymouth Fury Gran Sedan,cylinders,8
Plymouth Fury Gran Sedan,displacement(cc),318
Plymouth Fury Gran Sedan,power(hp),150
Plymouth Fury III,economy(mpg),14
Plymouth Fury III,cylinders,8
Plymouth Fury III,displacement(cc),318
Plymouth Fury III,power(hp),150
Plymouth Fury III,economy(mpg),14
Plymouth Fury III,cylinders,8
Plymouth Fury III,displacement(cc),440
Plymouth Fury III,power(hp),215
Plymouth Fury III,economy(mpg),15
Plymouth Fury III,cylinders,8
Plymouth Fury III,displacement(cc),318
Plymouth Fury III,power(hp),150
Plymouth Fury,economy(mpg),18
Plymouth Fury,cylinders,6
Plymouth Fury,displacement(cc),225
Plymouth Fury,power(hp),95
Plymouth Grand Fury,economy(mpg),16
Plymouth Grand Fury,cylinders,8
Plymouth Grand Fury,displacement(cc),318
Plymouth Grand Fury,power(hp),150
Plymouth Horizon 4,economy(mpg),34.7
Plymouth Horizon 4,cylinders,4
Plymouth Horizon 4,displacement(cc),105
Plymouth Horizon 4,power(hp),63
Plymouth Horizon Miser,economy(mpg),38
Plymouth Horizon Miser,cylinders,4
Plymouth Horizon Miser,displacement(cc),105
Plymouth Horizon Miser,power(hp),63
Plymouth Horizon TC3,economy(mpg),34.5
Plymouth Horizon TC3,cylinders,4
Plymouth Horizon TC3,displacement(cc),105
Plymouth Horizon TC3,power(hp),70
Plymouth Horizon,economy(mpg),34.2
Plymouth Horizon,cylinders,4
Plymouth Horizon,displacement(cc),105
Plymouth Horizon,power(hp),70
Plymouth Reliant,economy(mpg),27.2
Plymouth Reliant,cylinders,4
Plymouth Reliant,displacement(cc),135
Plymouth Reliant,power(hp),84
Plymouth Reliant,economy(mpg),30
Plymouth Reliant,cylinders,4
Plymouth Reliant,displacement(cc),135
Plymouth Reliant,power(hp),84
Plymouth Sapporo,economy(mpg),23.2
Plymouth Sapporo,cylinders,4
Plymouth Sapporo,displacement(cc),156
Plymouth Sapporo,power(hp),105
Plymouth Satellite (Wagon),economy(mpg),-1
Plymouth Satellite (Wagon),cylinders,8
Plymouth Satellite (Wagon),displacement(cc),383
Plymouth Satellite (Wagon),power(hp),175
Plymouth Satellite Custom (Wagon),economy(mpg),14
Plymouth Satellite Custom (Wagon),cylinders,8
Plymouth Satellite Custom (Wagon),displacement(cc),318
Plymouth Satellite Custom (Wagon),power(hp),150
Plymouth Satellite Custom,economy(mpg),16
Plymouth Satellite Custom,cylinders,6
Plymouth Satellite Custom,displacement(cc),225
Plymouth Satellite Custom,power(hp),105
Plymouth Satellite Sebring,economy(mpg),18
Plymouth Satellite Sebring,cylinders,6
Plymouth Satellite Sebring,displacement(cc),225
Plymouth Satellite Sebring,power(hp),105
Plymouth Satellite,economy(mpg),18
Plymouth Satellite,cylinders,8
Plymouth Satellite,displacement(cc),318
Plymouth Satellite,power(hp),150
Plymouth Valiant Custom,economy(mpg),19
Plymouth Valiant Custom,cylinders,6
Plymouth Valiant Custom,displacement(cc),225
Plymouth Valiant Custom,power(hp),95
Plymouth Valiant,economy(mpg),18
Plymouth Valiant,cylinders,6
Plymouth Valiant,displacement(cc),225
Plymouth Valiant,power(hp),105
Plymouth Valiant,economy(mpg),22
Plymouth Valiant,cylinders,6
Plymouth Valiant,displacement(cc),225
Plymouth Valiant,power(hp),100
Plymouth Volare Custom,economy(mpg),19
Plymouth Volare Custom,cylinders,6
Plymouth Volare Custom,displacement(cc),225
Plymouth Volare Custom,power(hp),100
Plymouth Volare Premier V8,economy(mpg),13
Plymouth Volare Premier V8,cylinders,8
Plymouth Volare Premier V8,displacement(cc),318
Plymouth Volare Premier V8,power(hp),150
Plymouth Volare,economy(mpg),20.5
Plymouth Volare,cylinders,6
Plymouth Volare,displacement(cc),225
Plymouth Volare,power(hp),100
Pontiac Astro,economy(mpg),23
Pontiac Astro,cylinders,4
Pontiac Astro,displacement(cc),140
Pontiac Astro,power(hp),78
Pontiac Catalina Brougham,economy(mpg),14
Pontiac Catalina Brougham,cylinders,8
Pontiac Catalina Brougham,displacement(cc),400
Pontiac Catalina Brougham,power(hp),175
Pontiac Catalina,economy(mpg),14
Pontiac Catalina,cylinders,8
Pontiac Catalina,displacement(cc),400
Pontiac Catalina,power(hp),175
Pontiac Catalina,economy(mpg),14
Pontiac Catalina,cylinders,8
Pontiac Catalina,displacement(cc),455
Pontiac Catalina,power(hp),225
Pontiac Catalina,economy(mpg),16
Pontiac Catalina,cylinders,8
Pontiac Catalina,displacement(cc),400
Pontiac Catalina,power(hp),170
Pontiac Firebird,economy(mpg),19
Pontiac Firebird,cylinders,6
Pontiac Firebird,displacement(cc),250
Pontiac Firebird,power(hp),100
Pontiac Grand Prix Lj,economy(mpg),16
Pontiac Grand Prix Lj,cylinders,8
Pontiac Grand Prix Lj,displacement(cc),400
Pontiac Grand Prix Lj,power(hp),180
Pontiac Grand Prix,economy(mpg),16
Pontiac Grand Prix,cylinders,8
Pontiac Grand Prix,displacement(cc),400
Pontiac Grand Prix,power(hp),230
Pontiac J2000 Se Hatchback,economy(mpg),31
Pontiac J2000 Se Hatchback,cylinders,4
Pontiac J2000 Se Hatchback,displacement(cc),112
Pontiac J2000 Se Hatchback,power(hp),85
Pontiac Lemans V6,economy(mpg),21.5
Pontiac Lemans V6,cylinders,6
Pontiac Lemans V6,displacement(cc),231
Pontiac Lemans V6,power(hp),115
Pontiac Phoenix LJ,economy(mpg),19.2
Pontiac Phoenix LJ,cylinders,6
Pontiac Phoenix LJ,displacement(cc),231
Pontiac Phoenix LJ,power(hp),105
Pontiac Phoenix,economy(mpg),27
Pontiac Phoenix,cylinders,4
Pontiac Phoenix,displacement(cc),151
Pontiac Phoenix,power(hp),90
Pontiac Phoenix,economy(mpg),33.5
Pontiac Phoenix,cylinders,4
Pontiac Phoenix,displacement(cc),151
Pontiac Phoenix,power(hp),90
Pontiac Safari (Wagon),economy(mpg),13
Pontiac Safari (Wagon),cylinders,8
Pontiac Safari (Wagon),displacement(cc),400
Pontiac Safari (Wagon),power(hp),175
Pontiac Sunbird Coupe,economy(mpg),24.5
Pontiac Sunbird Coupe,cylinders,4
Pontiac Sunbird Coupe,displacement(cc),151
Pontiac Sunbird Coupe,power(hp),88
Pontiac Ventura Sj,economy(mpg),18.5
Pontiac Ventura Sj,cylinders,6
Pontiac Ventura Sj,displacement(cc),250
Pontiac Ventura Sj,power(hp),110
Renault 12 (Wagon),economy(mpg),26
Renault 12 (Wagon),cylinders,4
Renault 12 (Wagon),displacement(cc),96
Renault 12 (Wagon),power(hp),69
Renault 12TL,economy(mpg),27
Renault 12TL,cylinders,4
Renault 12TL,displacement(cc),101
Renault 12TL,power(hp),83
Renault 18I,economy(mpg),34.5
Renault 18I,cylinders,4
Renault 18I,displacement(cc),100
Renault 18I,power(hp),-1
Renault 5 Gtl,economy(mpg),36
Renault 5 Gtl,cylinders,4
Renault 5 Gtl,displacement(cc),79
Renault 5 Gtl,power(hp),58
Renault Lecar Deluxe,economy(mpg),40.9
Renault Lecar Deluxe,cylinders,4
Renault Lecar Deluxe,displacement(cc),85
Renault Lecar Deluxe,power(hp),-1
Saab 900S,economy(mpg),-1
Saab 900S,cylinders,4
Saab 900S,displacement(cc),121
Saab 900S,power(hp),110
Saab 99E,economy(mpg),25
Saab 99E,cylinders,4
Saab 99E,displacement(cc),104
Saab 99E,power(hp),95
Saab 99GLE,economy(mpg),21.6
Saab 99GLE,cylinders,4
Saab 99GLE,displacement(cc),121
Saab 99GLE,power(hp),115
Saab 99LE,economy(mpg),24
Saab 99LE,cylinders,4
Saab 99LE,displacement(cc),121
Saab 99LE,power(hp),110
Saab 99LE,economy(mpg),25
Saab 99LE,cylinders,4
Saab 99LE,displacement(cc),121
Saab 99LE,power(hp),115
Subaru DL,economy(mpg),30
Subaru DL,cylinders,4
Subaru DL,displacement(cc),97
Subaru DL,power(hp),67
Subaru DL,economy(mpg),33.8
Subaru DL,cylinders,4
Subaru DL,displacement(cc),97
Subaru DL,power(hp),67
Subaru,economy(mpg),26
Subaru,cylinders,4
Subaru,displacement(cc),108
Subaru,power(hp),93
Subaru,economy(mpg),32.3
Subaru,cylinders,4
Subaru,displacement(cc),97
Subaru,power(hp),67
Toyota Carina,economy(mpg),20
Toyota Carina,cylinders,4
Toyota Carina,displacement(cc),97
Toyota Carina,power(hp),88
Toyota Celica GT Liftback,economy(mpg),21.1
Toyota Celica GT Liftback,cylinders,4
Toyota Celica GT Liftback,displacement(cc),134
Toyota Celica GT Liftback,power(hp),95
Toyota Celica GT,economy(mpg),32
Toyota Celica GT,cylinders,4
Toyota Celica GT,displacement(cc),144
Toyota Celica GT,power(hp),96
Toyota Corolla 1200,economy(mpg),31
Toyota Corolla 1200,cylinders,4
Toyota Corolla 1200,displacement(cc),71
Toyota Corolla 1200,power(hp),65
Toyota Corolla 1200,economy(mpg),32
Toyota Corolla 1200,cylinders,4
Toyota Corolla 1200,displacement(cc),71
Toyota Corolla 1200,power(hp),65
Toyota Corolla 1600 (Wagon),economy(mpg),27
Toyota Corolla 1600 (Wagon),cylinders,4
Toyota Corolla 1600 (Wagon),displacement(cc),97
Toyota Corolla 1600 (Wagon),power(hp),88
Toyota Corolla Liftback,economy(mpg),26
Toyota Corolla Liftback,cylinders,4
Toyota Corolla Liftback,displacement(cc),97
Toyota Corolla Liftback,power(hp),75
Toyota Corolla Tercel,economy(mpg),38.1
Toyota Corolla Tercel,cylinders,4
Toyota Corolla Tercel,displacement(cc),89
Toyota Corolla Tercel,power(hp),60
Toyota Corolla,economy(mpg),28
Toyota Corolla,cylinders,4
Toyota Corolla,displacement(cc),97
Toyota Corolla,power(hp),75
Toyota Corolla,economy(mpg),29
Toyota Corolla,cylinders,4
Toyota Corolla,displacement(cc),97
Toyota Corolla,power(hp),75
Toyota Corolla,economy(mpg),32.2
Toyota Corolla,cylinders,4
Toyota Corolla,displacement(cc),108
Toyota Corolla,power(hp),75
Toyota Corolla,economy(mpg),32.4
Toyota Corolla,cylinders,4
Toyota Corolla,displacement(cc),108
Toyota Corolla,power(hp),75
Toyota Corolla,economy(mpg),34
Toyota Corolla,cylinders,4
Toyota Corolla,displacement(cc),108
Toyota Corolla,power(hp),70
Toyota Corona Hardtop,economy(mpg),24
Toyota Corona Hardtop,cylinders,4
Toyota Corona Hardtop,displacement(cc),113
Toyota Corona Hardtop,power(hp),95
Toyota Corona Liftback,economy(mpg),29.8
Toyota Corona Liftback,cylinders,4
Toyota Corona Liftback,displacement(cc),134
Toyota Corona Liftback,power(hp),90
Toyota Corona Mark II,economy(mpg),24
Toyota Corona Mark II,cylinders,4
Toyota Corona Mark II,displacement(cc),113
Toyota Corona Mark II,power(hp),95
Toyota Corona,economy(mpg),24
Toyota Corona,cylinders,4
Toyota Corona,displacement(cc),134
Toyota Corona,power(hp),96
Toyota Corona,economy(mpg),25
Toyota Corona,cylinders,4
Toyota Corona,displacement(cc),113
Toyota Corona,power(hp),95
Toyota Corona,economy(mpg),27.5
Toyota Corona,cylinders,4
Toyota Corona,displacement(cc),134
