Type,ID,charting tool,chart source,Link
Polar Area Chart,2,HighCharts,,https://www.highcharts.com/demo/polar-wind-rose
Polar Area Chart,3,ioDraw,,https://www.iodraw.com/en/template/bar-polar-stack-radial
Polar Area Chart,4,,datavizcatalogue.com,https://datavizcatalogue.com/methods/nightingale_rose_chart.html
Polar Area Chart,5,Vega,,https://vega.github.io/vega/examples/radial-plot/
Polar Area Chart,6,Plotly,,https://plotly.com/python/polar-chart/
Polar Area Chart,7,D3.js,,https://observablehq.com/@asier/polar-area-chart
Polar Area Chart,8,D3.js,,https://observablehq.com/@sophiamersmann/polar-area-chart
Polar Area Chart,9,Mascot.js,,https://mascot-vis.github.io/gallery.html#RoseChart
Polar Area Chart,10,Datylon,,https://insights.datylon.com/datystore/api/v1/publications/jq3-PsyanmqDrB0HK0xHrQ/template
Radar Chart,1,Creately,,https://creately.com/diagram/example/jlq2kb2u2/radar-chart-example
Radar Chart,2,D3.js,,https://observablehq.com/@avoits/polar-chart
Radar Chart,3,D3.js,,https://observablehq.com/@marit970/radar-plot
Radar Chart,4,D3.js,,https://observablehq.com/@huangshew/spider-chart/2
Radar Chart,5,HighCharts,,https://www.highcharts.com/demo/polar
Radar Chart,6,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-radar-chart
Radar Chart,7,Vega,,https://vega.github.io/vega/examples/radar-chart/
Radar Chart,8,JSCharting,,https://jscharting.com/examples/chart-types/radar-polar/area/
Radar Chart,9,CUBA Platform,,https://doc.cuba-platform.com/charts-latest/radar_chart.html
Radar Chart,10,AMCharts,,https://www.amcharts.com/demos-v4/radar-chart-v4/
Radial Bar Chart,1,,freetrade.io,https://freetrade.io/stocks-and-shares-isa/isa-research
Radial Bar Chart,2,,stateofglobalexpansion.com,https://stateofglobalexpansion.com/index.html
Radial Bar Chart,3,,www.technologyreview.com,https://www.technologyreview.com/2021/05/24/1025131/edge-computing-powering-the-future-of-manufacturing/
Radial Bar Chart,4,,www.semasio.com,https://www.semasio.com/articles/2022-the-most-diverse-420-ever
Radial Bar Chart,5,HighCharts,,https://www.highcharts.com/demo/ios/polar-radial-bar
Radial Bar Chart,6,ioDraw,,https://www.iodraw.com/en/template/bar-polar-label-tangential
Radial Bar Chart,7,,report2020.gruppoiren.it,https://report2020.gruppoiren.it/en/sustainability/customers-and-communities/customers-and-services
Radial Bar Chart,8,ApexCharts,,https://apexcharts.com/javascript-chart-demos/radialbar-charts/multiple-radialbars/
Radial Bar Chart,9,ApexCharts,,https://apexcharts.com/javascript-chart-demos/radialbar-charts/custom-angle-circle/
Radial Bar Chart,10,,https://www.dettol.co.nz/,https://www.dettol.co.nz/health-hygiene/personal/sanitising-hands-out-of-home/
Range Chart,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#RangeChart
Range Chart,2,AnyChart,,https://www.anychart.com/products/anychart/gallery/Range_Charts/Climate_Data.php
Range Chart,3,ApexCharts,,https://apexcharts.com/react-chart-demos/range-area-charts/
Range Chart,4,ZingChart,,https://www.zingchart.com/gallery/range-area-chart-with-crosshair
Range Chart,5,AngularCharts,www.telerik.com,https://www.telerik.com/kendo-angular-ui/components/charts/
Range Chart,6,AnyChart,,https://www.anychart.com/products/anychart/gallery/Range_Charts/Range_Column_Chart.php
Range Chart,7,AnyChart,,https://www.anychart.com/products/anychart/gallery/Range_Charts/Range_Step-Area_Chart.php
Range Chart,8,,https://www.eia.gov/,https://www.eia.gov/todayinenergy/detail.php?id=51098
Range Chart,9,AnyChart,,https://docs.anychart.com/Basic_Charts/Range_Bar_Chart
Range Chart,10,HighCharts,,https://www.highcharts.com/demo/arearange-line
Range Chart,11,,https://www.bofbulletin.fi/,https://www.bofbulletin.fi/en/charts/chart/the-price-of-domestic-companies-market-based-funding-has-risen-in-2022/
Scatterplot,1,Datylon,,https://insights.datylon.com/stories/sUH1REVrdrPZhjXbIOJABA
Scatterplot,2,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-scatter-chart
Scatterplot,3,Datylon,,https://insights.datylon.com/stories/oDHVikVxaCaCGWRFGMdPgA
Scatterplot,4,,https://www.mathsisfun.com/,https://www.mathsisfun.com/data/scatter-xy-plots.html
Scatterplot,5,R,,https://bookdown.org/max/FES/stroke-preprocessing.html
Scatterplot,6,R,,https://bookdown.org/a_shaker/STM1001_Topic_2/5-1-scatter-plots.html
Scatterplot,7,Mascot.js,,https://mascot-vis.github.io/gallery#Scatterplot
Scatterplot,8,R,,https://bookdown.org/max/FES/stroke-preprocessing.html
Scatterplot,9,ApexCharts,,https://apexcharts.com/javascript-chart-demos/scatter-charts/datetime/
Scatterplot,10,Plotly,https://dash.gallery,https://dash.gallery/bball-player-explorer/
Scatterplot,11,Vega Lite,,https://vega.github.io/vega-lite/examples/interactive_splom.html
Scatterplot,12,D3.js,,https://observablehq.com/@d3/brushable-scatterplot-matrix
Scatterplot,13,R,,https://bookdown.org/max/FES/stroke-exploration.html
Scatterplot,14,R,,https://bookdown.org/max/FES/numeric-many-to-many.html
Spiral Plot,1,,https://www.storytellingwithdata.com/,https://community.storytellingwithdata.com/challenges/jan-2022-visualizing-cycles/global-surface-temperature
Spiral Plot,2,D3.js,,https://observablehq.com/@tomshanley/spiral-heatmap-northern-hemisphere-sea-ice-extent-1978-to-2
Spiral Plot,3,D3.js,,https://observablehq.com/@mwindson/spiral-calendar
Spiral Plot,4,D3.js,,https://observablehq.com/@tomshanley/spiral-heatmap
Spiral Plot,5,D3.js,,https://observablehq.com/@sawyerclick/condegram
Spiral Plot,6,Charticulator,,https://charticulator.com/gallery/fitbit_activities.html
Spiral Plot,7,R,https://www.relevantmisc.com/,http://www.relevantmisc.com/r/2020/06/01/baby-sleep-radial/
Spiral Plot,8,Charticulator,,https://charticulator.com/gallery/fitbit_activities.html
Spiral Plot,9,Charticulator,,https://charticulator.com/gallery/fitbit_activities.html
Spiral Plot,10,Charticulator,,https://charticulator.com/gallery/fitbit_activities.html
Stacked Area Chart,1,DataWrapper,academy.datawrapper.de,https://academy.datawrapper.de/article/106-how-to-create-an-area-chart
Stacked Area Chart,2,DataWrapper,,https://www.datawrapper.de/_/8Wwvx/
Stacked Area Chart,3,D3.js,,https://observablehq.com/@marcsoh-smu/stacked-area-chart-of-tb-cases-in-africa-2000-to-2021
Stacked Area Chart,4,Datylon,,https://insights.datylon.com/stories/t8_KLLekHtE6msHLYtlP4w
Stacked Area Chart,5,Plotly,www.data-to-viz.com,https://www.data-to-viz.com/graph/stackedarea.html
Stacked Area Chart,6,AnyChart,,https://www.anychart.com/products/anychart/gallery/Area_Charts/Stacked_Area_Chart.php
Stacked Area Chart,7,,https://mathspace.co/,https://mathspace.co/textbooks/syllabuses/Syllabus-813/topics/Topic-18223/subtopics/Subtopic-279123/?activeTab=worksheet
Stacked Area Chart,8,ObservablePlot,,https://observablehq.com/@miralemd/picasso-js-stacked-area-chart
Stacked Area Chart,9,D3.js,,https://observablehq.com/@bigshow/stacked-area-chart
Stacked Area Chart,10,Vega Lite,,https://vega.github.io/vega/examples/stacked-area-chart/
Stacked Area Chart,11,,https://www.grunt.pro/,https://www.grunt.pro/hubfs/product/chart-area-stacked-b0.svg
Stacked Area Chart,12,ApexCharts,,https://apexcharts.com/javascript-chart-demos/area-charts/stacked/
Stacked Bar Chart,1,D3.js,,https://observablehq.com/@d3/stacked-horizontal-bar-chart
Stacked Bar Chart,2,D3.js,,https://observablehq.com/@d3/stacked-normalized-horizontal-bar
Stacked Bar Chart,3,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bar-charts/patterned/
Stacked Bar Chart,4,Vega Lite,,https://vega.github.io/vega-lite/examples/stacked_bar_count_corner_radius_mark.html
Stacked Bar Chart,5,Vega Lite,,https://vega.github.io/vega-lite/examples/stacked_bar_normalize.html
Stacked Bar Chart,6,Vega Lite,,https://vega.github.io/vega-lite/examples/stacked_bar_h.html
Stacked Bar Chart,7,Vega Lite,,https://vega.github.io/vega-lite/examples/stacked_bar_weather.html
Stacked Bar Chart,8,Vega Lite,,https://vega.github.io/vega-lite/examples/stacked_bar_h_normalized_labeled.html
Stacked Bar Chart,9,Mascot.js,,https://mascot-vis.github.io/gallery#StackedBarChart
Stacked Bar Chart,10,D3.js,,https://observablehq.com/@d3/stacked-bar-chart
Stacked Bar Chart,11,ApexCharts,,https://apexcharts.com/javascript-chart-demos/column-charts/stacked/
Stacked Bar Chart,12,ApexCharts,,https://apexcharts.com/javascript-chart-demos/bar-charts/stacked/
Stream Graph,1,Datylon,,https://insights.datylon.com/stories/mYTOaOfgUWal7LFDN3VAlQ
Stream Graph,2,Datylon,,https://insights.datylon.com/stories/ntmFCLHAVy454T6t8NFA-A
Stream Graph,3,PlotDB,,https://plotdb.com/chart/1038/
Stream Graph,4,Datylon,,https://www.datylon.com/blog/types-of-charts-graphs-examples-data-visualization
Stream Graph,5,,datavizcatalogue.com,https://datavizcatalogue.com/methods/stream_graph.html
Stream Graph,6,,https://edgetheory.com/kudzu,https://edgetheory.com/wp-content/uploads/2021/10/streamgraph-by-day.svg
Stream Graph,7,R,www.data-to-viz.com,https://www.data-to-viz.com/graph/streamgraph.html
Stream Graph,8,,streamgraphs.github.io,https://streamgraphs.github.io/marketcap.html
Stream Graph,9,,en.wikipedia.org,https://en.wikipedia.org/wiki/Streamgraph#/media/File:LastGraph_example.svg
Stream Graph,10,HighCharts,,https://www.highcharts.com/blog/chartchooser/streamgraph-flow-continuous/
Treemap,1,D3.js,,https://bl.ocks.org/mbostock/4063582
Treemap,2,Datylon,,https://insights.datylon.com/stories/vGS_pEulvCsEjQlCp5lB2w
Treemap,3,Datylon,,https://insights.datylon.com/stories/jmqYaDrvpjskFmwW_bFLmw
Treemap,4,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-treemap-chart
Treemap,5,Diagrammm,,https://diagrammm.com/treemap
Treemap,6,R,https://help.macrobond.com/,https://help.macrobond.com/tutorials-training/4-charting/types-of-charts/outside-of-macrobond/charts-with-r/treemap/
Treemap,7,HighCharts,,https://www.highcharts.com/demo/treemap-large-dataset
Treemap,8,PlotDB,,https://plotdb.com/chart/1006/#
Treemap,9,Plotly,,https://plotly.com/javascript/treemaps/
Treemap,10,Vega Lite,,https://vega.github.io/vega/examples/treemap/
Treemap,11,Mascot.js,,https://mascot-vis.github.io/gallery.html#Treemap
Treemap,12,R,https://help.macrobond.com/,https://help.macrobond.com/tutorials-training/4-charting/types-of-charts/outside-of-macrobond/charts-with-r/treemap/
Treemap,13,HighCharts,,https://www.highcharts.com/demo/highcharts/treemap-with-levels
Violin Plot,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#ViolinPlot
Violin Plot,2,D3.js,,https://observablehq.com/@theodedeken/19-violin-plot
Violin Plot,3,,https://www.jbe-platform.com/,https://www.jbe-platform.com/content/figure/10.1075/avt.00068.ros.fig3
Violin Plot,4,Plotly,,https://plotly.com/javascript/violin/
Violin Plot,5,D3.js,,https://d3-graph-gallery.com/graph/violin_basicHist.html
Violin Plot,6,Vega,,https://vega.github.io/vega/examples/violin-plot/
Violin Plot,7,D3.js,,https://observablehq.com/d/1771ceff9a6022c3
Violin Plot,8,ObservablePlot,,https://observablehq.com/@jonhelfman/plot-violin-chart-with-facet
Violin Plot,9,BiochemPy,,https://biochempy.bb.iastate.edu/static/images/help_page/plot_examples/violin_plot_example.svg
Violin Plot,10,D3.js,,https://observablehq.com/@vaibhav-rane/assignment-3
Violin Plot,11,Jamovi,lsj.readthedocs.io,https://lsj.readthedocs.io/en/latest/Ch05/Ch05_Graphics_2.html
Violin Plot,12,Plotly,www.tvhahn.com,https://www.tvhahn.com/posts/beautiful-plots-violin/
Violin Plot,13,,https://edu.iotc.org/,https://edu.iotc.org/tuning.html
Waffle Chart,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#WaffleChart
Waffle Chart,2,Mascot.js,,https://mascot-vis.github.io/gallery#MultipleWaffleCharts
Waffle Chart,3,Data Illustator,,https://data-illustrator.cs.umd.edu/app/index.html?project=waffle
Waffle Chart,4, PyWaffle,www.kaggle.com,https://www.kaggle.com/general/114798
Waffle Chart,5, PyWaffle,www.kaggle.com,https://www.kaggle.com/general/114798
Waffle Chart,6,Datylon,,https://www.datylon.com/resources/chart-library/icon-array
Waffle Chart,7, PyWaffle,,https://pywaffle.readthedocs.io/en/latest/examples/formats_of_values.html
Waffle Chart,8,D3.js,https://gist.github.com/,http://bl.ocks.org/XavierGimenez/8070956
Waffle Chart,9,Datylon,,https://www.datylon.com/blog/types-of-charts-graphs-examples-data-visualization
Waffle Chart,10, PyWaffle,,https://github.com/gyli/PyWaffle/blob/master/docs/examples/block_colors.md
Waffle Chart,11, PyWaffle,,https://pywaffle.readthedocs.io/en/latest/examples/plot_with_characters_or_icons.html
Waffle Chart,12,R,www.filipr.com,https://www.filipr.com/posts/waffle-chart/
Waffle Chart,13,R,www.filipr.com,https://www.filipr.com/posts/waffle-chart/
Waffle Chart,14,,https://www.mckinsey.com/,https://www.mckinsey.com/featured-insights/2020-year-in-review/a-tale-of-2020-in-20-mckinsey-charts
Waterfall Chart,1,Mascot.js,,https://mascot-vis.github.io/gallery#WaterfallChart
Waterfall Chart,2,,https://navicat.com/,https://navicat.com/en/navicat-16-highlights
Waterfall Chart,3,AnyChart,,https://docs.anychart.com/Basic_Charts/Waterfall_Chart
Waterfall Chart,4,AnyChart,,https://docs.anychart.com/Basic_Charts/Waterfall_Chart
Waterfall Chart,5,,https://www.spotfire.com/,https://www.tibco.com/reference-center/what-is-a-waterfall-chart
Waterfall Chart,6,AnyChart,,https://docs.anychart.com/Basic_Charts/Waterfall_Chart
Waterfall Chart,7,FusionCharts,,fusioncharts.com/charts/waterfall-charts/waterfall-chart-without-cumulative-sum?framework=javascript
Waterfall Chart,8,,commons.wikimedia.org,https://commons.wikimedia.org/wiki/File:Diagramme_waterfall.svg
Waterfall Chart,9,Plotly,dash.gallery,https://dash.gallery/dash-shap-tips/
Waterfall Chart,10,Vega lite,,https://vega.github.io/vega-lite/examples/waterfall_chart.html
Waterfall Chart,11,HighCharts,,https://www.highcharts.com/demo/highcharts/waterfall
Waterfall Chart,12,,https://www.apptio.com/,https://www.apptio.com/fr/products/cloudability/financial-planning/
Waterfall Chart,13,,https://www.gov.uk/,https://www.gov.uk/government/statistics/national-non-domestic-rates-collected-by-councils-in-england-forecast-2024-to-2025/national-non-domestic-rates-collected-by-councils-in-england-forecast-for-2024-to-2025
Word Cloud,1,D3.js,,https://observablehq.com/@d3/word-cloud
Word Cloud,2,D3.js,,https://observablehq.com/@randomfractals/nlp-word-cloud
Word Cloud,3,Vega,,https://vega.github.io/vega/examples/word-cloud/
Word Cloud,4,AnyChart,,https://www.anychart.com/products/anychart/gallery/Tag_Cloud/Alice_In_Wonderland.php
Word Cloud,5,AnyChart,,https://www.anychart.com/products/anychart/gallery/Tag_Cloud/World_Population.php
Word Cloud,6,AnyChart,,https://www.anychart.com/products/anychart/gallery/Tag_Cloud/State_of_the_Union_Address_Most_Used_Words.php
Word Cloud,7,D3.js,d3-graph-gallery.com,https://d3-graph-gallery.com/graph/wordcloud_basic.html
Word Cloud,8,D3.js,,https://observablehq.com/@soezen/word-cloud
Word Cloud,9,D3.js,,https://observablehq.com/@cliffng/word-cloud
Word Cloud,10,D3.js,,https://observablehq.com/d/115a62bd2a944ca6
others,1,Mascot.js,,https://mascot-vis.github.io/gallery.html#MultipleBarCharts 
others,2,D3.js,https://gist.github.com/,https://gist.github.com/cmgiven/018fd027d443b177e18fffb9afcdb5bd
others,3,,https://www.urban.org/,https://www.urban.org/features/11-charts-about-social-security-disability-insurance-program
others,4,D3.js,,https://observablehq.com/@stroked/gantt-calendar
others,5,Mascot.js,,https://mascot-vis.github.io/gallery#TowerChart
others,6,HighCharts,,https://www.highcharts.com/demo/highcharts/column-comparison
others,7,ApexCharts,,https://apexcharts.com/javascript-chart-demos/column-charts/grouped-stacked-columns/
others,8,HighCharts,,https://www.highcharts.com/demo/highcharts/variwide
others,9,HighCharts,,https://www.highcharts.com/demo/highcharts/stellar-chart
others,10,HighCharts,,https://www.highcharts.com/demo/maps/map-pies
others,11,Datylon,,https://insights.datylon.com/stories/ixceXCfGRapMydRyuEZNJw
others,12,D3.js,,https://gist.github.com/michalskop/8016812
others,13,D3.js,,http://https//bl.ocks.org/fabiovalse/raw/4122230f56cbd9982ba0/?raw=true
others,14,FusionCharts,,https://jsfiddle.net/fusioncharts/G7hYq/
others,15,HighCharts,,https://www.highcharts.com/demo/highcharts/error-bar
others,16,HighCharts,,https://www.highcharts.com/demo/highcharts/combo
others,17,HighCharts,,https://www.highcharts.com/demo/highcharts/column-placement
others,18,,cuthchow.github.io,https://cuthchow.github.io/college-majors-visualisation/
